#indiafightscorona we have 1524 #covid testing laboratories in india and as on 25th august 2020 36827520 tests have been done  @profbhargava dg @icmrdelhi #staysafe #indiawillwin,real
covid act now found on average each person in illinois with covid-19 is infecting 1.11 other people. data shows that the infection growth rate has declined over time this factors in the stay-at-home order and other restrictions put in place.,real
if you tested positive for #covid19 and have no symptoms stay home and away from other people. learn more about cdcs recommendations about when you can be around others after covid-19 infection,real
retractionhydroxychloroquine or chloroquine with or without a macrolide for treatment of covid-19 a multinational registry analysis - the lancet,fake
take simple daily precautions to help prevent the spread of respiratory illnesses like #covid19. learn how to protect yourself from coronavirus (covid-19),real
we just announced that the first participants in each age cohort have been dosed in the phase 2 study of our mrna vaccine (mrna-1273) against novel coronavirus. read more  #mrna,real
#coronavirusupdates #indiafightscorona more than 6 lakh tests done for 3rd successive day. cumulative testing as on date has reached 22149351. #covid19 tests per million (tpm) cross 16000.,real
protect yourself and others from #covid19 when using public transportation. practice social distancing avoid touching surfaces and practice hand hygiene. learn more,real
as of 18 august 2020 8am till now there have been a total of 4687 #covid19 positive cases &amp; 17 #covid_19 related deaths in #manipur #covid__19 #covid19 #covid19india #covidupdates #coronaupdates #corona #coronavirus #coronavirusindia #coronavirusupdates #coronaviruspandemic,real
"because of donald trumps negligence and incompetence - more than 110,000 people have died- we have nearly 2 million cases of covid-19- over 20 million americans are out of work and yet hes patting himself on the back. unbelievable.",fake
#indiafightscorona india continues to scale new peaks in #covid19 tests! more than 11.70 lakh samples tested daily for 2 consecutive days. no other country has achieved these levels of very high daily testing. @pmoindia @drharshvardhan @ashwinikchoubey @pib_india @ddnewslive,real
we just announced that we have shipped vials of mrna-1273 the companys vaccine against the novel coronavirus to the nih to be used in the planned phase 1 study in the u.s.,real
multiple facebook posts claim that aussies will be fined if they are found to be talking about conspiracies to do with covid-19. the posts included a screenshot of a segment from an australian breakfast television show as evidence for the claim.,fake
the nz covid tracker app will remain important and useful at alert level 1. people are encouraged to download the app or a similar one or keep a record of where youre going to be.,real
breaking news# the president cryill ramaphosa has asked all foreign nations to depart south africa before 21 june 2020 due to increasing cases of covid 19 .,fake
